frame.time_epoch,frame.len,frame.time_delta,frame.time_delta_displayed,eth.src,ip.src,ip.proto,ip.len,ip.ttl,ip.flags.df,ip.dsfield.dscp,tcp.srcport,tcp.dstport,tcp.len,tcp.hdr_len,tcp.flags,tcp.window_size_value,udp.srcport,udp.dstport,udp.length,frame.protocols
1641212101.368318000,98,,,c0:e7:bf:0a:79:d1,192.168.137.55,1,84,64,True,0,,,,,,,,,,eth:ethertype:ip:icmp:data
1641212101.402798000,105,0.034480000,0.034480000,44:01:bb:ec:10:4a,192.168.137.66,6,91,64,True,0,36967,50920,39,32,0x0018,2811,,,,eth:ethertype:ip:tcp:tls
1641212101.444116000,105,0.041318000,0.041318000,3c:18:a0:41:c3:a0,47.254.90.186,6,91,48,True,0,50920,36967,39,32,0x0018,114,,,,eth:ethertype:ip:tcp:tls
1641212101.456880000,156,0.012764000,0.012764000,44:bb:3b:00:39:07,192.168.137.125,6,142,64,True,0,54098,443,90,32,0x0018,3233,,,,eth:ethertype:ip:tcp:tls
1641212101.490704000,66,0.033824000,0.033824000,3c:18:a0:41:c3:a0,47.254.90.186,6,52,48,True,0,50920,36967,0,32,0x0010,114,,,,eth:ethertype:ip:tcp
1641212101.490780000,105,0.000076000,0.000076000,3c:18:a0:41:c3:a0,47.254.90.186,6,91,48,True,0,50920,36967,39,32,0x0018,114,,,,eth:ethertype:ip:tcp:tls
1641212101.505635000,66,0.014855000,0.014855000,3c:18:a0:41:c3:a0,34.123.64.154,6,52,60,True,0,443,54098,0,32,0x0010,728,,,,eth:ethertype:ip:tcp
1641212101.519743000,230,0.014108000,0.014108000,b8:f0:09:03:29:79,192.168.137.58,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212101.687020000,140,0.089782000,0.167277000,3c:18:a0:41:c3:a0,34.123.64.154,6,126,60,True,0,443,54098,74,32,0x0018,728,,,,eth:ethertype:ip:tcp:tls
1641212101.708174000,66,0.021154000,0.021154000,44:bb:3b:00:39:07,192.168.137.125,6,52,64,True,0,54098,443,0,32,0x0010,3233,,,,eth:ethertype:ip:tcp
1641212101.908864000,90,0.200690000,0.200690000,34:75:63:73:f3:36,192.168.137.136,17,76,64,True,0,,,,,,,14025,32100,56,eth:ethertype:ip:udp:data
1641212101.908864000,90,0.000000000,0.000000000,34:75:63:73:f3:36,192.168.137.136,17,76,64,True,0,,,,,,,14025,32100,56,eth:ethertype:ip:udp:data
1641212101.908864000,90,0.000000000,0.000000000,34:75:63:73:f3:36,192.168.137.136,17,76,64,True,0,,,,,,,14025,32100,56,eth:ethertype:ip:udp:data
1641212101.956102000,54,0.031753000,0.047238000,3c:18:a0:41:c3:a0,3.221.182.58,17,40,33,True,0,,,,,,,32100,14025,20,eth:ethertype:ip:udp:data
1641212102.153033000,54,0.196931000,0.196931000,3c:18:a0:41:c3:a0,47.112.162.49,17,40,41,True,0,,,,,,,32100,14025,20,eth:ethertype:ip:udp:data
1641212102.465901000,214,0.303662000,0.312868000,d4:a6:51:30:64:b7,192.168.137.202,17,200,255,False,0,,,,,,,55407,6667,180,eth:ethertype:ip:udp:data
1641212102.502889000,156,0.036988000,0.036988000,44:bb:3b:00:39:07,192.168.137.125,6,142,64,True,0,54098,443,90,32,0x0018,3233,,,,eth:ethertype:ip:tcp:tls
1641212102.551790000,66,0.048901000,0.048901000,3c:18:a0:41:c3:a0,34.123.64.154,6,52,60,True,0,443,54098,0,32,0x0010,728,,,,eth:ethertype:ip:tcp
1641212102.568523000,60,0.016733000,0.016733000,10:2c:6b:1b:43:be,192.168.137.176,17,32,64,True,0,,,,,,,60938,10001,12,eth:ethertype:ip:udp:data
1641212102.568523000,60,0.000000000,0.000000000,10:2c:6b:1b:43:be,192.168.137.176,17,32,64,True,0,,,,,,,60938,10001,12,eth:ethertype:ip:udp:data
1641212102.568523000,60,0.000000000,0.000000000,10:2c:6b:1b:43:be,192.168.137.176,17,32,64,True,0,,,,,,,60938,10001,12,eth:ethertype:ip:udp:data
1641212102.857571000,66,0.262171000,0.289048000,cc:f4:11:9c:d0:00,192.168.137.246,6,52,64,True,0,44932,5228,0,32,0x0010,834,,,,eth:ethertype:ip:tcp
1641212102.899873000,66,0.042302000,0.042302000,3c:18:a0:41:c3:a0,52.10.15.125,6,52,220,True,0,443,33980,0,32,0x0010,219,,,,eth:ethertype:ip:tcp
1641212102.900695000,66,0.000822000,0.000822000,3c:37:86:6f:b9:51,192.168.137.138,6,52,64,True,0,33980,443,0,32,0x0010,621,,,,eth:ethertype:ip:tcp
1641212102.904550000,66,0.003855000,0.003855000,3c:18:a0:41:c3:a0,172.253.122.188,6,52,123,False,0,5228,44932,0,32,0x0010,265,,,,eth:ethertype:ip:tcp
1641212103.060408000,218,0.155858000,0.155858000,44:01:bb:ec:10:4a,192.168.137.66,17,204,64,True,0,,,,,,,50271,37010,184,eth:ethertype:ip:udp:data
1641212103.064884000,66,0.004476000,0.004476000,44:01:bb:ec:10:4a,192.168.137.66,6,52,64,True,0,36967,50920,0,32,0x0010,2811,,,,eth:ethertype:ip:tcp
1641212103.066254000,66,0.001370000,0.001370000,44:01:bb:ec:10:4a,192.168.137.66,6,52,64,True,0,36967,50920,0,32,0x0010,2811,,,,eth:ethertype:ip:tcp
1641212103.077764000,60,0.011510000,0.011510000,70:ee:50:68:0e:32,192.168.137.178,17,29,64,True,0,,,,,,,59416,4500,9,eth:ethertype:ip:udp:udpencap
1641212103.098812000,105,0.010600000,0.021048000,44:01:bb:ec:10:4a,192.168.137.66,6,91,64,True,0,36967,50920,39,32,0x0018,2811,,,,eth:ethertype:ip:tcp:tls
1641212103.226407000,66,0.127595000,0.127595000,3c:18:a0:41:c3:a0,47.254.90.186,6,52,48,True,0,50920,36967,0,32,0x0010,114,,,,eth:ethertype:ip:tcp
1641212103.265596000,230,0.039189000,0.039189000,24:a1:60:14:7f:f9,192.168.137.188,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212103.497597000,66,0.232001000,0.232001000,cc:f4:11:9c:d0:00,192.168.137.246,6,52,64,True,0,38750,80,0,32,0x0010,457,,,,eth:ethertype:ip:tcp
1641212103.522683000,66,0.025086000,0.025086000,3c:18:a0:41:c3:a0,142.251.32.67,6,52,123,False,0,80,38750,0,32,0x0010,705,,,,eth:ethertype:ip:tcp
1641212103.697597000,214,0.174914000,0.174914000,d4:a6:51:76:06:64,192.168.137.44,17,200,255,False,0,,,,,,,49153,6667,180,eth:ethertype:ip:udp:data
1641212103.824699000,230,0.127102000,0.127102000,b8:f0:09:03:9a:af,192.168.137.102,17,216,255,False,0,,,,,,,49155,6667,196,eth:ethertype:ip:udp:data
1641212103.828375000,60,0.003676000,0.003676000,c0:e7:bf:0a:79:d1,192.168.137.55,17,44,64,True,0,,,,,,,54237,8877,24,eth:ethertype:ip:udp:data
1641212104.392928000,214,0.023476000,0.564553000,d4:a6:51:20:91:d1,192.168.137.165,17,200,255,False,0,,,,,,,49153,6667,180,eth:ethertype:ip:udp:data
1641212104.470454000,230,0.077526000,0.077526000,50:02:91:10:ac:d8,192.168.137.135,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212104.649167000,230,0.152954000,0.178713000,50:02:91:b1:68:0c,192.168.137.161,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212104.715331000,230,0.066164000,0.066164000,50:02:91:1a:ce:e1,192.168.137.218,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212104.800374000,79,0.085043000,0.085043000,c0:e7:bf:0a:79:d1,192.168.137.55,17,65,64,True,0,,,,,,,46405,53,45,eth:ethertype:ip:udp:dns
1641212104.802861000,95,0.002487000,0.002487000,3c:18:a0:41:c3:a0,192.168.137.1,17,81,128,False,0,,,,,,,53,46405,61,eth:ethertype:ip:udp:dns
1641212104.806539000,74,0.003678000,0.003678000,c0:e7:bf:0a:79:d1,192.168.137.55,6,60,64,True,0,55750,80,0,40,0x0002,14600,,,,eth:ethertype:ip:tcp
1641212104.910725000,214,0.104186000,0.104186000,d4:a6:51:78:97:4e,192.168.137.204,17,200,255,False,0,,,,,,,49153,6667,180,eth:ethertype:ip:udp:data
1641212104.978017000,361,0.067292000,0.067292000,cc:f4:11:9c:d0:00,192.168.137.246,6,347,64,True,0,38750,80,295,32,0x0018,457,,,,eth:ethertype:ip:tcp:http
1641212105.003215000,66,0.025198000,0.025198000,3c:18:a0:41:c3:a0,142.251.32.67,6,52,123,False,0,80,38750,0,32,0x0010,709,,,,eth:ethertype:ip:tcp
1641212105.003273000,149,0.000058000,0.000058000,3c:18:a0:41:c3:a0,142.251.32.67,6,135,123,False,0,80,38750,83,32,0x0018,709,,,,eth:ethertype:ip:tcp:http
1641212105.149488000,230,0.072565000,0.146215000,c4:dd:57:0c:39:94,192.168.137.211,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212105.187036000,66,0.037548000,0.037548000,cc:f4:11:9c:d0:00,192.168.137.246,6,52,64,True,0,38750,80,0,32,0x0010,457,,,,eth:ethertype:ip:tcp
1641212105.192733000,230,0.005697000,0.005697000,50:02:91:10:09:8f,192.168.137.147,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212105.199832000,100,0.007099000,0.007099000,3c:18:a0:41:c3:a0,52.94.243.11,6,86,223,True,0,443,47604,46,20,0x0018,1688,,,,eth:ethertype:ip:tcp:tls
1641212105.206790000,100,0.006958000,0.006958000,a0:d0:dc:c4:08:ff,192.168.137.133,6,86,64,True,0,47604,443,46,20,0x0018,2920,,,,eth:ethertype:ip:tcp:tls
1641212105.235333000,54,0.028543000,0.028543000,3c:18:a0:41:c3:a0,52.94.243.11,6,40,223,True,0,443,47604,0,20,0x0010,1688,,,,eth:ethertype:ip:tcp
1641212105.440299000,100,0.204966000,0.204966000,a0:d0:dc:c4:08:ff,192.168.137.133,6,86,64,True,0,47604,443,46,20,0x0018,2920,,,,eth:ethertype:ip:tcp
1641212105.468784000,54,0.028485000,0.028485000,3c:18:a0:41:c3:a0,52.94.243.11,6,40,229,True,0,443,47604,0,20,0x0010,1688,,,,eth:ethertype:ip:tcp
1641212105.602724000,214,0.133940000,0.133940000,68:57:2d:56:ac:47,192.168.137.200,17,200,255,False,0,,,,,,,49153,6667,180,eth:ethertype:ip:udp:data
1641212105.797997000,74,0.195273000,0.195273000,c0:e7:bf:0a:79:d1,192.168.137.55,6,60,64,True,0,55750,80,0,40,0x0002,14600,,,,eth:ethertype:ip:tcp
1641212106.101378000,218,0.303381000,0.303381000,44:01:bb:ec:10:4a,192.168.137.66,17,204,1,True,0,,,,,,,37020,37000,184,eth:ethertype:ip:udp:data
1641212106.261888000,214,0.160510000,0.160510000,d4:a6:51:21:6c:29,192.168.137.109,17,200,255,False,0,,,,,,,49154,6667,180,eth:ethertype:ip:udp:data
1641212106.295586000,60,0.033698000,0.033698000,00:17:88:60:d6:4f,192.168.137.33,6,40,64,True,0,46474,443,0,20,0x0010,4730,,,,eth:ethertype:ip:tcp
1641212106.344283000,54,0.048697000,0.048697000,3c:18:a0:41:c3:a0,173.194.194.206,6,40,123,False,0,443,46474,0,20,0x0010,269,,,,eth:ethertype:ip:tcp
1641212106.489191000,100,0.072386000,0.144908000,3c:18:a0:41:c3:a0,52.94.229.122,6,86,213,True,0,443,41772,46,20,0x0018,32621,,,,eth:ethertype:ip:tcp:tls
1641212106.491166000,100,0.001975000,0.001975000,1c:fe:2b:98:16:dd,192.168.137.28,6,86,64,True,0,41772,443,46,20,0x0018,1825,,,,eth:ethertype:ip:tcp:tls
1641212106.518371000,230,0.027205000,0.027205000,b8:f0:09:03:29:79,192.168.137.58,17,216,255,False,0,,,,,,,49154,6667,196,eth:ethertype:ip:udp:data
1641212106.520426000,54,0.002055000,0.002055000,3c:18:a0:41:c3:a0,52.94.229.122,6,40,213,True,0,443,41772,0,20,0x0010,32620,,,,eth:ethertype:ip:tcp
1641212106.613859000,156,0.093433000,0.093433000,44:bb:3b:00:39:07,192.168.137.125,6,142,64,True,0,54098,443,90,32,0x0018,3233,,,,eth:ethertype:ip:tcp:tls
1641212106.662596000,66,0.048737000,0.048737000,3c:18:a0:41:c3:a0,34.123.64.154,6,52,60,True,0,443,54098,0,32,0x0010,728,,,,eth:ethertype:ip:tcp
1641212106.774814000,99,0.054011000,0.112218000,b0:09:da:3e:82:6c,192.168.137.119,6,85,64,True,46,60854,443,33,32,0x0018,1090,,,,eth:ethertype:ip:tcp:tls
1641212106.846401000,66,0.071587000,0.071587000,3c:18:a0:41:c3:a0,3.218.252.149,6,52,228,True,0,443,60854,0,32,0x0010,1422,,,,eth:ethertype:ip:tcp
